Victim's name,Date of Incident (month/day/year),Official disposition of death (justified or other),Criminal Charges?,
Name withheld by police,4/7/21,Pending investigation,No known charges,
Roger Cornelius Allen,4/7/21,Pending investigation,No known charges,
Devin Wyteagle Kuykendall,4/6/21,Pending investigation,No known charges,
Stephanie Nicole Volkin,4/6/21,Pending investigation,No known charges,
Tyler R. Green,4/6/21,Pending investigation,No known charges,
Iremamber Sykap,4/5/21,Pending investigation,No known charges,
Roy Kenneth Jackel Jr.,4/5/21,Pending investigation,No known charges,
Silas Lambert,4/5/21,Pending investigation,No known charges,
Desmon Montez Ray,4/4/21,Pending investigation,No known charges,
Jose Arenas,4/3/21,Pending investigation,No known charges,
Diwone Wallace,4/3/21,Pending investigation,No known charges,
Gabriel Casso,4/3/21,Pending investigation,No known charges,
Jeffrey W. Appelt,4/3/21,Pending investigation,No known charges,
Juan Carlos Estrada,4/3/21,Pending investigation,No known charges,
Samuel Yeager,4/3/21,Pending investigation,No known charges,
Angel Nelson,4/2/21,Pending investigation,No known charges,
Name withheld by police,4/2/21,Pending investigation,No known charges,
Name withheld by police,4/2/21,Pending investigation,No known charges,
Natzeryt Layahoshua Viertel,4/2/21,Pending investigation,No known charges,
Noah R. Green,4/2/21,Pending investigation,No known charges,
DeShawn Latiwon Tatum,4/1/21,Pending investigation,No known charges,
James Andrew Iler,4/1/21,Pending investigation,No known charges,
Name withheld by police,4/1/21,Pending investigation,No known charges,
Steven Ross Glass,4/1/21,Pending investigation,No known charges,
Willie Roy Allen,3/31/21,Pending investigation,No known charges,
Aaron Christopher Pouche,3/31/21,Pending investigation,No known charges,
Anthony Alvarez,3/31/21,Pending investigation,No known charges,
Ivan Cuevas,3/31/21,Pending investigation,No known charges,
Jeffrey Ely,3/31/21,Pending investigation,No known charges,
Lance Montgomery Powell,3/31/21,Pending investigation,No known charges,
Jonathen B. Kohler,3/30/21,Pending investigation,No known charges,
Michael Leon Hughes,3/30/21,Pending investigation,No known charges,
Shelby Jean Berkheimer,3/30/21,Pending investigation,No known charges,
Adam Toledo,3/29/21,Pending investigation,No known charges,
Matthew Blaylock,3/29/21,Pending investigation,No known charges,
Name withheld by police,3/29/21,Pending investigation,No known charges,
Robert Lee Canchola,3/29/21,Pending investigation,No known charges,
Krys Brandon Ruiz,3/28/21,Pending investigation,No known charges,
Russell Lindemeyer,3/27/21,Pending investigation,No known charges,
Daniel Nolan,3/26/21,Pending investigation,No known charges,
Donovon W. Lynch,3/26/21,Pending investigation,No known charges,
Eric Michael Leach,3/26/21,Pending investigation,No known charges,
John Pena Montez,3/26/21,Pending investigation,No known charges,
Steven Michael Kielian,3/26/21,Pending investigation,No known charges,
Charles White III,3/25/21,Pending investigation,No known charges,
Kelly E. Rooks,3/25/21,Pending Investigation,No known charges,
Malcolm D. Johnson,3/25/21,Pending investigation,No known charges,
Travon Chadwell,3/25/21,Pending investigation,No known charges,
Name withheld by police,3/24/21,Pending investigation,No known charges,
Name withheld by police,3/24/21,Pending investigation,No known charges,
Name withheld by police,3/24/21,Pending investigation,No known charges,
Peter Joseph Wayne,3/24/21,Pending investigation,No known charges,
Tony Smith,3/24/21,Pending investigation,No known charges,
Silas Myers,3/23/21,Pending investigation,No known charges,
Christopher Eric Cook,3/23/21,Pending investigation,No known charges,
David Hill,3/23/21,Pending investigation,No known charges,
Frankie Jennings,3/23/21,Pending investigation,No known charges,
Edward Kayer,3/22/21,Pending investigation,No known charges,
Name withheld by police,3/22/21,Pending investigation,No known charges,
Eduardo Parra,3/21/21,Pending investigation,No known charges,
Name withheld by police,3/21/21,Pending investigation,No known charges,
Sergio Gutierrez Chairez,3/21/21,Pending investigation,No known charges,
Gerald Wayne Marlon Jr,3/20/21,Pending investigation,No known charges,
James Zambrotto,3/20/21,Pending investigation,No known charges,
Kevin L. Duncan,3/20/21,Pending investigation,No known charges,
Shawn Michael Evanuk,3/20/21,Pending investigation,No known charges,
Mykel Dexter Jenkins,3/19/21,Pending investigation,No known charges,
Name withheld by police,3/19/21,Pending investigation,No known charges,
Daryl Lenard Jordan,3/18/21,Pending investigation,No known charges,
Juan Jimenez-Salas,3/18/21,Pending investigation,No known charges,
Leonard Popa Sr.,3/18/21,Pending investigation,No known charges,
David Suarez,3/17/21,Pending investigation,No known charges,
Name withheld by police,3/17/21,Pending investigation,No known charges,
Name withheld by police,3/17/21,Pending investigation,No known charges,
Shawn Myers,3/17/21,Pending investigation,No known charges,
Jorge Armando Cerda,3/16/21,Pending investigation,No known charges,
Name withheld by police,3/16/21,Pending investigation,No known charges,
Stephen James Hughes,3/15/21,Pending investigation,No known charges,
Angel B. Degollado,3/14/21,Pending investigation,No known charges,
Christopher Ruffin,3/14/21,Pending investigation,No known charges,
Name withheld by police,3/14/21,Pending investigation,No known charges,
Ryan White Mountain-Soft,3/14/21,Pending investigation,No known charges,
Douglas Stroble,3/13/21,Pending investigation,No known charges,
Dustin Black,3/13/21,Pending investigation,No known charges,
Kelly Shannon Bowen,3/13/21,Pending investigation,No known charges,
Name withheld by police,3/13/21,Pending investigation,No known charges,
Benjamin Price Cotton,3/12/21,Pending investigation,No known charges,
Gary Brown,3/12/21,Pending investigation,No known charges,
Nika Nicole Holbert,3/12/21,Pending investigation,No known charges,
Raymond Tarbox II,3/12/21,Pending investigation,No known charges,
Timothy Jonas Johnson,3/12/21,Pending investigation,No known charges,
Christopher Lefande,3/11/21,Pending investigation,No known charges,
Tyrell Wilson,3/11/21,Pending investigation,No known charges,
Ivan Gutzalenko,3/10/21,Pending investigation,No known charges,
Martin Louis Douglas Jr.,3/10/21,Pending investigation,No known charges,
Michael Laduca,3/10/21,Pending investigation,No known charges,
Tyshon Jones,3/10/21,Pending investigation,No known charges,
David Robert Ruozi Jr.,3/9/21,Pending investigation,No known charges,
Jim Wright,3/9/21,Pending investigation,No known charges,
Name withheld by police,3/9/21,Pending investigation,No known charges,
David Kahler,3/8/21,Pending investigation,No known charges,
Howayne Gale,3/7/21,Pending investigation,No known charges,
Joel R. Weldon,3/7/21,Pending investigation,No known charges,
Jessie Peter,3/6/21,Pending investigation,No known charges,
Andrew Teague,3/5/21,Pending investigation,No known charges,
Gregory Williams,3/5/21,Pending investigation,No known charges,
Justin Lynn,3/5/21,Pending investigation,No known charges,
Thomas Mack,3/5/21,Pending investigation,No known charges,
Judson Albahm,3/4/21,Pending investigation,No known charges,
Broderick Woods,3/3/21,Pending investigation,No known charges,
Dwight Brown,3/3/21,Pending investigation,No known charges,
Adam Cunningham,3/1/21,Pending investigation,No known charges,
Chandra Moore,3/1/21,Pending investigation,No known charges,
Farrah Rauch,2/28/21,Pending investigation,No known charges,
Fred Bowman Trundle,2/28/21,Pending investigation,No known charges,
David Savela,2/27/21,Pending investigation,No known charges,
Roger Dale Gibson,2/27/21,Pending investigation,No known charges,
Rudy Duvivier,2/27/21,Pending investigation,No known charges,
Shannon Savela,2/27/21,Pending investigation,No known charges,
Dakota G. Richards,2/26/21,Pending investigation,No known charges,
Frederick Earl Height,2/26/21,Pending investigation,No known charges,
Isaiah Strong,2/26/21,Pending investigation,No known charges,
Maggie A. Dickerson,2/26/21,Pending investigation,No known charges,
Thomas Mack,2/26/21,Pending investigation,No known charges,
Adam John Lundt,2/25/21,Pending investigation,No known charges,
Benjamin Tyson,2/25/21,Pending investigation,No known charges,
David Joseph Wayne Conwell,2/25/21,Pending investigation,No known charges,
Donald Francis Hairston,2/25/21,Pending investigation,No known charges,
Arturo Gomez Calel,2/24/21,Pending investigation,No known charges,
Michael Richard Stambaugh,2/24/21,Pending investigation,No known charges,
Name withheld by police,2/24/21,Pending investigation,No known charges,
Dale Amstutz-Dunn,2/23/21,Pending investigation,No known charges,
Name withheld by police,2/23/21,Pending investigation,No known charges,
"Carlton James ""CJ"" Adams",2/22/21,Pending investigation,No known charges,
Andrew Allen Courser,2/21/21,Pending investigation,No known charges,
Daniel Newton Neal,2/21/21,Pending investigation,No known charges,
Dominic Lucas Koch,2/21/21,Pending investigation,No known charges,
Arnell States,2/20/21,Pending investigation,No known charges,
Christian W. Alexander,2/20/21,Pending investigation,No known charges,
Claude Trivino,2/20/21,Pending investigation,No known charges,
Hailey Stainbrook,2/20/21,Pending investigation,No known charges,
Randall Lockaby,2/20/21,Pending investigation,No known charges,
William Ice,2/20/21,Pending investigation,No known charges,
Chad Curtis Loynachan,2/19/21,Pending investigation,No known charges,
Name withheld by police,2/19/21,Pending investigation,No known charges,
Ryan Shirey,2/19/21,Pending investigation,No known charges,
Timothy Frandson,2/19/21,Pending investigation,No known charges,
Juan Carter Hernandez,2/18/21,Pending investigation,No known charges,
Timothy Statham,2/18/21,Pending investigation,No known charges,
William Clayton Blackwell,2/18/21,Pending investigation,No known charges,
Adrian Castro,2/17/21,Pending investigation,No known charges,
Dustin A. Crain,2/17/21,Pending investigation,No known charges,
Hector Javier Puga,2/17/21,Pending investigation,No known charges,
James Edward Coe,2/17/21,Pending investigation,No known charges,
Derek J. Hayden,2/16/21,Pending investigation,No known charges,
Juan Carlos Pena-Noda,2/16/21,Pending investigation,No known charges,
Francisco Flores,2/15/21,Pending investigation,No known charges,
Royce Robertston,2/15/21,Pending investigation,No known charges,
Troy Alton Allen,2/15/21,Pending investigation,No known charges,
Adam Bruce Connors,2/14/21,Pending investigation,No known charges,
Bruce Diehl,2/14/21,Pending investigation,No known charges,
Name withheld by police,2/14/21,Pending investigation,No known charges,
Phillip N. Davenport,2/14/21,Pending investigation,No known charges,
Daverion Kinard,2/13/21,Pending investigation,No known charges,
Name withheld by police,2/13/21,Pending investigation,No known charges,
Brandon Wimberly,2/12/21,Pending investigation,No known charges,
Brian D. Ellis,2/11/21,Pending investigation,No known charges,
Clifford E. Wilbur Jr.,2/11/21,Pending investigation,No known charges,
Edwin Adan Velasquez,2/11/21,Pending investigation,No known charges,
Eric J. Porter,2/11/21,Pending investigation,No known charges,
Gregory Chandler Metz,2/11/21,Pending investigation,No known charges,
Jacob Aaron Thomas,2/11/21,Pending investigation,No known charges,
Jonathan Turner,2/11/21,Pending investigation,No known charges,
Cortez Lee Bogan,2/10/21,Pending investigation,No known charges,
Jordan Walton,2/10/21,Pending investigation,No known charges,
Demarko Montez Henderson,2/9/21,Pending investigation,No known charges,
Gregory Taylor,2/9/21,Pending investigation,No known charges,
Trey Bartholomew ,2/9/21,Pending investigation,No known charges,
Clay Tatum,2/8/21,Pending investigation,No known charges,
Joseph Johnson,2/8/21,Pending investigation,No known charges,
Shae Estelle Jones,2/8/21,Pending investigation,No known charges,
Brian Gregory Scott,2/7/21,Pending investigation,No known charges,
Brooke Leann Blair,2/7/21,Pending investigation,No known charges,
Dustin Demaurean Powell,2/7/21,Pending investigation,No known charges,
Keenan Sailer,2/7/21,Pending investigation,No known charges,
Anthony Greco,2/6/21,Pending investigation,No known charges,
Anthony Loia,2/6/21,Pending investigation,No known charges,
Dennis Denham,2/6/21,Pending investigation,No known charges,
Kevin Costlow,2/6/21,Pending investigation,No known charges,
Phillip Francis,2/6/21,Pending investigation,No known charges,
Andrew Hogan,2/5/21,Pending investigation,No known charges,
Christopher Hagans,2/5/21,Pending investigation,No known charges,
Dino Raul Morales,2/5/21,Pending investigation,No known charges,
Josue Drumond-Cruz,2/5/21,Pending investigation,No known charges,
Name withheld by police,2/5/21,Pending investigation,No known charges,
Ariella Sage Eloise Crawford,2/4/21,Pending investigation,No known charges,
Dontae Green,2/4/21,Pending investigation,No known charges,
Jenoah Donald,2/4/21,Pending investigation,No known charges,
Omar Felix Cueva,2/4/21,Pending investigation,No known charges,
"Tilford ""TJ"" Barton",2/4/21,Pending investigation,No known charges,
Treyh Webster,2/4/21,Pending investigation,No known charges,
Anthony Andrew Reunart,2/3/21,Pending investigation,No known charges,
Marvon Payton Jr.,2/3/21,Pending investigation,No known charges,
Nicholas Pingel,2/3/21,Pending investigation,No known charges,
Tracy Hope Walter-Hensley,2/3/21,Pending investigation,No known charges,
Joshua Crites,2/2/21,Pending investigation,No known charges,
Name withheld by police,2/2/21,Pending investigation,No known charges,
Andrew Scott Kislek,2/1/21,Pending investigation,No known charges,
Kevin Hayes,2/1/21,Pending investigation,No known charges,
Richard Fenton Thomas,2/1/21,Pending investigation,No known charges,
Chad William Songer,1/31/21,Pending investigation,No known charges,
Ezekiel Meza,1/31/21,Pending investigation,No known charges,
Franklin Gray,1/31/21,Pending investigation,No known charges,
Karl Walker,1/31/21,Pending investigation,No known charges,
Keith Scales,1/31/21,Pending investigation,No known charges,
Kenneth Michael Dallas,1/30/21,Pending investigation,No known charges,
Name withheld by police,1/30/21,Pending investigation,No known charges,
Chase Coats,1/29/21,Pending investigation,No known charges,
Javier Magdaleno,1/29/21,Pending investigation,No known charges,
Roger D. Hipskind,1/28/21,Pending investigation,No known charges,
Erick Mejia,1/27/21,Pending investigation,No known charges,
Randy Miller,1/27/21,Pending investigation,No known charges,
Edward Bittner,1/26/21,Pending investigation,No known charges,
Felix Santos,1/26/21,Pending investigation,No known charges,
Harmony Wolfgram,1/26/21,Pending investigation,No known charges,
Mark Meza,1/26/21,Pending investigation,No known charges,
Name withheld by police,1/26/21,Pending investigation,No known charges,
John Eric Ostbye,1/25/21,Pending investigation,No known charges,
Caleb McCree,1/24/21,Pending investigation,No known charges,
Tyree Kajawn Rogers,1/24/21,Pending investigation,No known charges,
Steven Verdone,1/22/21,Pending investigation,No known charges,
Brian Richard Abbott,1/21/21,Pending investigation,No known charges,
David Tovar Jr.,1/21/21,Pending investigation,No known charges,
Name withheld by police,1/21/21,Pending investigation,No known charges,
Ryan Daniel Stallings,1/21/21,Pending investigation,No known charges,
Bradley Alexander Lewis,1/20/21,Pending investigation,No known charges,
Eusi Malik Kater Jr.,1/20/21,Pending investigation,No known charges,
Frank Gonzales,1/20/21,Pending investigation,No known charges,
Christopher Austin Dockery,1/19/21,Pending investigation,No known charges,
Robert Laudell Bull,1/19/21,Pending investigation,No known charges,
Christopher Harris,1/18/21,Pending investigation,No known charges,
Kevin Darion Wells,1/18/21,Pending investigation,No known charges,
Robert Stephen Calderon,1/18/21,Pending investigation,No known charges,
Daniel Canales Jr.,1/17/21,Pending investigation,No known charges,
Daniel Young,1/17/21,Pending investigation,No known charges,
Zonterious Johnson,1/17/21,Pending investigation,No known charges,
Jean Paul Stanely,1/15/21,Pending investigation,No known charges,
Justin Pegues,1/15/21,Pending investigation,No known charges,
Kershawn Geiger,1/15/21,Pending investigation,No known charges,
Name withheld by police,1/15/21,Pending investigation,No known charges,
Reginald Johnson,1/15/21,Pending investigation,No known charges,
Jeffrey D. Kite,1/14/21,Pending investigation,No known charges,
Joshua Van Machado,1/13/21,Pending investigation,No known charges,
Lymond Maurice Moses,1/13/21,Pending investigation,No known charges,
Name withheld by police,1/13/21,Pending investigation,No known charges,
Antonio Carbajal,1/12/21,Pending investigation,No known charges,
Gary Rodriguez Jr.,1/12/21,Pending investigation,No known charges,
Ty Walvatne-Donahey,1/12/21,Pending investigation,No known charges,
Daryl Dye,1/11/21,Pending investigation,No known charges,
Jesse Daniel Davila,1/11/21,Pending investigation,No known charges,
Junius Thomas,1/11/21,Pending investigation,No known charges,
Allen Mirzayan,1/10/21,Pending investigation,No known charges,
Brian Williams,1/10/21,Pending investigation,No known charges,
Joseph W. Howell,1/10/21,Pending investigation,No known charges,
Mark Bivins,1/10/21,Pending investigation,No known charges,
Patrick Warren Sr.,1/10/21,Pending investigation,No known charges,
Betty Francois,1/9/21,Pending investigation,No known charges,
Jason Nightengale,1/9/21,Pending investigation,No known charges,
Matthew Oxendine,1/9/21,Pending investigation,No known charges,
Paul Bolden,1/9/21,Pending investigation,No known charges,
Xzavier D. Hill,1/9/21,Pending investigation,No known charges,
Brian Andren,1/8/21,Pending investigation,No known charges,
Charles Edward Williams,1/8/21,Pending investigation,No known charges,
Kwamena Ocran,1/8/21,Pending investigation,No known charges,
John R. Neitling,1/7/21,Pending investigation,No known charges,
Ashli Babbitt,1/6/21,Pending investigation,No known charges,
Benicio Vasquez,1/6/21,Pending investigation,No known charges,
Jacob Ryan McDuff,1/6/21,Pending investigation,No known charges,
"Robert ""Lil Rob"" Howard",1/6/21,Charged with a crime,Charged with a crime,
Alexander Gonzales,1/5/21,Pending investigation,No known charges,
Jose Guzman,1/5/21,Pending investigation,No known charges,
Michael Conlon,1/5/21,Pending investigation,No known charges,
Shawn McCoy,1/5/21,Pending investigation,No known charges,
Vincent Belmonte,1/5/21,Pending investigation,No known charges,
Amanda Faulkner,1/4/21,Pending investigation,No known charges,
Micahel Romo,1/4/21,Pending investigation,No known charges,
Henry Martinez Jr.,1/3/21,Pending investigation,No known charges,
James Reising,1/3/21,Pending investigation,No known charges,
La Garion Smith,1/3/21,Pending investigation,No known charges,
Tre-Kedrian Tyquan White,1/3/21,Pending investigation,No known charges,
David Alvarado Jr.,1/2/21,Pending investigation,No known charges,
Carl Dorsey III,1/1/21,Pending investigation,No known charges,
Isaac Matheney,1/1/21,Pending investigation,No known charges,
David Randall Shephard,12/31/20,Pending investigation,No known charges,
Jeffrey Marvin,12/31/20,Pending investigation,No known charges,
Rodolfo Caraballo Moreno,12/31/20,Pending investigation,No known charges,
Christian Hall,12/30/20,Pending investigation,No known charges,
Dolal Idd,12/30/20,Pending investigation,No known charges,
Jason Williams,12/30/20,Pending investigation,No known charges,
Peter K. England,12/30/20,Pending investigation,No known charges,
Shyheed Robert Boyd,12/29/20,Pending investigation,No known charges,
Samuel Lorenzo,12/29/20,Pending investigation,No known charges,
Jaquan Haynes,12/29/20,Pending investigation,No known charges,
Jason Cooper,12/29/20,Pending investigation,No known charges,
Trevor Seever,12/29/20,Pending investigation,No known charges,
Helen Jones,12/28/20,Pending investigation,No known charges,
Alaina Burns,12/28/20,Pending investigation,No known charges,
Bryan Cruz-Soto,12/28/20,Pending investigation,No known charges,
Caillen Paoakea Gentzler,12/28/20,Pending investigation,No known charges,
Jordan Crawford,12/28/20,Pending investigation,No known charges,
Larry Hamm,12/28/20,Pending investigation,No known charges,
Name withheld by police,12/28/20,Pending investigation,No known charges,
Name withheld by police,12/28/20,Pending investigation,No known charges,
Cole Blevins,12/27/20,Pending investigation,No known charges,
Marquavious Rashod Parks,12/27/20,Pending investigation,No known charges,
Shamar Ogman,12/26/20,Pending investigation,No known charges,
Isaac Frazier,12/25/20,Pending investigation,No known charges,
Jesus Perez,12/25/20,Pending investigation,No known charges,
John Moreno,12/25/20,Pending investigation,No known charges,
Sheikh Mustafa Davis,12/25/20,Pending investigation,No known charges,
Michael Brandon Joyner,12/24/20,Pending investigation,No known charges,
Tara Rae Liubakka,12/24/20,Pending investigation,No known charges,
Mark Clermont,12/23/20,Pending investigation,No known charges,
Angelo Quinto,12/23/20,Pending investigation,No known charges,
Andre Maurice Hill,12/22/20,Charged with murder,Charged with a crime,
Christopher Cuevas,12/22/20,Pending investigation,No known charges,
Joseph Tanner Casten,12/22/20,Pending investigation,No known charges,
Larry Taylor,12/21/20,Charged with murder,Charged with a crime,
Paul Peraza,12/21/20,Pending investigation,No known charges,
William A. Riley-Jennings,12/20/20,Pending investigation,No known charges,
Moises Arreola,12/19/20,Pending investigation,No known charges,
Daniel Russell,12/18/20,Pending investigation,No known charges,
Jacob E. McClure,12/18/20,Pending investigation,No known charges,
Johnathan George Brown,12/18/20,Pending investigation,No known charges,
Leonel Salinas,12/18/20,Pending investigation,No known charges,
Name withheld by police,12/18/20,Pending investigation,No known charges,
Johnny Bolton,12/17/20,Pending investigation,No known charges,
Andrew Mansilla,12/17/20,Pending investigation,No known charges,
Joshua Hoffpauir,12/17/20,Pending investigation,No known charges,
Nicholas Ellingson,12/17/20,Pending investigation,No known charges,
Adam Robertson,12/16/20,Pending investigation,No known charges,
Benjamin Marley Manley aka Christopher Reeves,12/16/20,Pending investigation,No known charges,
Jeremy Maurice Daniels,12/16/20,Pending investigation,No known charges,
David John Donelli,12/15/20,Pending investigation,No known charges,
Ernie Teddy Serrano,12/15/20,Pending investigation,No known charges,
Name withheld by police,12/15/20,Pending investigation,No known charges,
Reno E. Casanova,12/15/20,Pending investigation,No known charges,
Michael Anthony Dilbeck,12/14/20,Pending investigation,No known charges,
Jordan Zenka,12/13/20,Pending investigation,No known charges,
Joseph Evans,12/13/20,Pending investigation,No known charges,
Luis Manuel Vasquez Gomez,12/13/20,Pending investigation,No known charges,
Matthew T. Melzoni,12/13/20,Pending investigation,No known charges,
Bennie Edwards,12/11/20,Pending investigation,No known charges,
Charles E. Jones,12/11/20,Pending investigation,No known charges,
Name withheld by police,12/11/20,Pending investigation,No known charges,
Kurtis Kay Frevert,12/10/20,Pending investigation,No known charges,
Earl Robert Caperton,12/10/20,Pending investigation,No known charges,
Eric Drake Feenstra,12/10/20,Pending investigation,No known charges,
Evelio Rivera,12/10/20,Pending investigation,No known charges,
Whitney J. Crawley,12/10/20,Pending investigation,No known charges,
Joseph R. Crawford,12/9/20,Pending investigation,No known charges,
Joshua Feast,12/9/20,Pending investigation,No known charges,
Kenneth Dale Miller,12/9/20,Pending investigation,No known charges,
Brad Tyler Masters,12/8/20,Pending investigation,No known charges,
Nathaniel Sironen,12/8/20,Pending investigation,No known charges,
Dylan Ray Scott,12/8/20,Pending investigation,No known charges,
Thomas Reeder III,12/7/20,Pending investigation,No known charges,
Christian Juarez,12/6/20,Pending investigation,No known charges,
Donald Edwin Saunders,12/6/20,Pending investigation,No known charges,
Mark Brewer,12/6/20,Pending investigation,No known charges,
Estavon Dominic Elioff,12/5/20,Pending investigation,No known charges,
Kwamaine O'Neal,12/5/20,Pending investigation,No known charges,
Name withheld by police,12/5/20,Pending investigation,No known charges,
Oldrich Fejfar,12/5/20,Pending investigation,No known charges,
Randy Ward,12/4/20,Pending investigation,No known charges,
Andre K. Sterling,12/4/20,Pending investigation,No known charges,
Casey Christopher Goodson Jr.,12/4/20,Pending investigation,No known charges,
Leonard Francis Kieren,12/4/20,Pending investigation,No known charges,
Nancy King,12/4/20,Pending investigation,No known charges,
Maurice Jackson,12/3/20,Pending investigation,No known charges,
Craig Steven Wright,12/3/20,Pending investigation,No known charges,
Larry Eugene Boyd,12/3/20,Pending investigation,No known charges,
Dolores Hernandez,12/2/20,Pending investigation,No known charges,
Dominique Harris,12/2/20,Pending investigation,No known charges,
Ethan Tyler Calton,12/1/20,Pending investigation,No known charges,
James David Hawley,12/1/20,Pending investigation,No known charges,
Kevin Fox,12/1/20,Pending investigation,No known charges,
Mickee McArthur,11/30/20,Pending investigation,No known charges,
Udofia Ekom-Abasi,11/30/20,Pending investigation,No known charges,
Cory Donell Truxillo,11/29/20,Pending investigation,No known charges,
Adam Lee Mendez,11/29/20,Pending investigation,No known charges,
Alonzo Leroy Landy,11/29/20,Pending investigation,No known charges,
Duane W. Rich,11/27/20,Pending investigation,No known charges,
Michael Anthony Pena,11/27/20,Pending investigation,No known charges,
Name withheld by police,11/27/20,Pending investigation,No known charges,
Nicolas Segura,11/27/20,Pending investigation,No known charges,
Ellis Frye Jr.,11/26/20,Pending investigation,No known charges,
Joshua Lee LaPlace,11/25/20,Pending investigation,No known charges,
Lorenzo Aguilar,11/24/20,Pending investigation,No known charges,
Rondell Goppy,11/24/20,Pending investigation,No known charges,
Anthony Arias,11/23/20,Pending investigation,No known charges,
Stavian Rodriguez,11/23/20,Pending investigation,No known charges,
Brian Allen Thurman,11/22/20,Pending investigation,No known charges,
Brittany Nicole Yoder,11/22/20,Pending investigation,No known charges,
Name withheld by police,11/22/20,Pending investigation,No known charges,
Nicholas Cory Kausshen,11/22/20,Pending investigation,No known charges,
Randy LaCoursiere,11/22/20,Pending investigation,No known charges,
Douglas Hatfield,11/21/20,Pending investigation,No known charges,
Matthew Thomas,11/21/20,Pending investigation,No known charges,
Peter Russell,11/20/20,Pending investigation,No known charges,
Jordan D. Patterson,11/20/20,Pending investigation,No known charges,
Name withheld by police,11/20/20,Pending investigation,No known charges,
Duane Scott Murray,11/19/20,Pending investigation,No known charges,
Terrell Smith,11/19/20,Pending investigation,No known charges,
Kenneth Jones,11/19/20,Pending investigation,No known charges,
Michael Dansby,11/19/20,Pending investigation,No known charges,
Rodney Applewhite,11/19/20,Pending investigation,No known charges,
Pedro Martinez,11/18/20,Pending investigation,No known charges,
Dustin James Acosta,11/17/20,Pending investigation,No known charges,
James Horton,11/17/20,Pending investigation,No known charges,
Javon Brice,11/17/20,Pending investigation,No known charges,
Name withheld by police,11/17/20,Pending investigation,No known charges,
Shawn Lequin Braddy,11/17/20,Pending investigation,No known charges,
Joshua D. Evans,11/16/20,Pending investigation,No known charges,
Shane K. Jones,11/16/20,Pending investigation,No known charges,
Christina Markwell,11/15/20,Pending investigation,No known charges,
Name withheld by police,11/15/20,Pending investigation,No known charges,
Angelo Castigliola Jr.,11/14/20,Pending investigation,No known charges,
Augustine Morales,11/14/20,Pending investigation,No known charges,
David Donovan,11/14/20,Pending investigation,No known charges,
Jake Settle,11/14/20,Pending investigation,No known charges,
"Angelo ""AJ"" Crooms",11/13/20,Pending investigation,No known charges,
Arthur Keith,11/13/20,Pending investigation,No known charges,
Charles Craig Meeks,11/13/20,Pending investigation,No known charges,
Cody William Amman,11/13/20,Pending investigation,No known charges,
Sincere Pierce,11/13/20,Pending investigation,No known charges,
Tracey Leon McKinney,11/13/20,Pending investigation,No known charges,
